state;latitude;longitude;name
AK;63.588.753;-154.493.062;Alaska
AL;32.318.231;-86.902.298;Alabama
AR;3.520.105;-91.831.833;Arkansas
AZ;34.048.928;-111.093.731;Arizona
CA;36.778.261;-119.417.932;California
CO;39.550.051;-105.782.067;Colorado
CT;41.603.221;-73.087.749;Connecticut
DC;38.905.985;-77.033.418;District of Columbia
DE;38.910.832;-7.552.767;Delaware
FL;27.664.827;-81.515.754;Florida
GA;32.157.435;-82.907.123;Georgia
HI;19.898.682;-155.665.857;Hawaii
IA;41.878.003;-93.097.702;Iowa
ID;44.068.202;-114.742.041;Idaho
IL;40.633.125;-89.398.528;Illinois
IN;40.551.217;-85.602.364;Indiana
KS;39.011.902;-98.484.246;Kansas
KY;37.839.333;-84.270.018;Kentucky
LA;31.244.823;-92.145.024;Louisiana
MA;42.407.211;-71.382.437;Massachusetts
MD;39.045.755;-76.641.271;Maryland
ME;45.253.783;-69.445.469;Maine
MI;44.314.844;-85.602.364;Michigan
MN;46.729.553;-946.859;Minnesota
MO;37.964.253;-91.831.833;Missouri
MS;32.354.668;-89.398.528;Mississippi
MT;46.879.682;-110.362.566;Montana
NC;35.759.573;-790.193;North Carolina
ND;47.551.493;-101.002.012;North Dakota
NE;41.492.537;-99.901.813;Nebraska
NH;43.193.852;-71.572.395;New Hampshire
NJ;40.058.324;-74.405.661;New Jersey
NM;3.497.273;-105.032.363;New Mexico
NV;3.880.261;-116.419.389;Nevada
NY;43.299.428;-74.217.933;New York
OH;40.417.287;-82.907.123;Ohio
OK;35.007.752;-97.092.877;Oklahoma
OR;43.804.133;-120.554.201;Oregon
PA;41.203.322;-77.194.525;Pennsylvania
PR;18.220.833;-66.590.149;Puerto Rico
RI;41.580.095;-71.477.429;Rhode Island
SC;33.836.081;-81.163.725;South Carolina
SD;43.969.515;-99.901.813;South Dakota
TN;35.517.491;-86.580.447;Tennessee
TX;31.968.599;-99.901.813;Texas
UT;3.932.098;-111.093.731;Utah
VA;37.431.573;-78.656.894;Virginia
VT;44.558.803;-72.577.841;Vermont
WA;47.751.074;-120.740.139;Washington
WI;4.378.444;-88.787.868;Wisconsin
WV;38.597.626;-80.454.903;West Virginia
WY;43.075.968;-107.290.284;Wyoming
